"No","Nama Perusahaan","Merek Dagang","Kota","Alamat","Telepon/WA","Email","Website","Jenis","Link HIMPUH","Status Follow-up","Catatan"
"313","PT. Emirza Karimah Wisata","Jiddy Al Aziz Tour","Depok","Graha Sevire - 2nd Floor. Jl. Raya Abdulghani No.82A Depok, Jawa Barat, Cilodong, Depok, Jawa Barat, 16413","+6287926672","inbox@emirzakarimahwisata.com","www.emirzakarimahwisata.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/756","Belum dihubungi",""
"314","PT. Alfath Trans Globalindo","Alfath Trans Globalindo","Tangerang","Ahrcheries Square, Jl. Raya Bukit Sarua No.33 RT.000/RW.000 Kel. Serua, Kec. Ciputat, Kota Tangerang Selatan, Banten, Ciputat, Tangerang Selatan, Banten, 15414","+6287809510769","alfathtranstourtravel@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/757","Belum dihubungi",""
"315","PT. Daar Sunnah Mubarak","Daar Sunnah Mubarak","Bekasi","Jl. Kemangsari IV, No. 02 jatimakmur, Pondok Gede, Kota Bekasi, Pondok Gede, Bekasi, Jawa Barat, 17412","+62811808774","daarsunnahmubarak@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/759","Belum dihubungi",""
"316","PT. Fatih Amalia Wisata","Fatih Amalia Wisata","Bekasi","JL. Lurah Namat LT. 3, Jatirangga, Kec. Jatisampurna, Kota Bks, Jawa Barat 17434, Jati Sampurna, Bekasi, Jawa Barat, 17434","+6284346235","fatihamaliawisata@yahoo.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/763","Belum dihubungi",""
"317","PT. Bani Haqeem Sejahtera","Haqeem travel","Jakarta","Jalan Haji Samali No.31 RT.14/RW.14 Kel. Kalibata, Kec. Pancoran - Jakarta Selatan, Pancoran, Jakarta Selatan, DKI Jakarta, 12740","+6202127531234","haqeem.tt@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/764","Belum dihubungi",""
"318","PT. Muslim Indonesia Sejahtera","Muslim Indonesia Tour and Travel","Tangerang","Ruko Boulevard, Jl. Tekno Widya Blok D 01/ Desa/Kelurahan Setu, Kec. Setu, Kota Tangerang Selatan, Provinsi Banten, Setu, Tangerang Selatan, Banten, 15314","+628112555702","muslimindonesiasejahteratour@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/765","Belum dihubungi",""
"319","PT. Haramain Utama Mandiri","Humadinah Travel","Tangerang","Jl. Benda Raya Blok F 30 No. 18 RT.008/ RW.015 Kel. Benda Baru, Pamulang, Tangerang Selatan, Pamulang, Tangerang Selatan, Banten, 15418","+628975562244","haramainutamamandiri@gmail.com","humtravel.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/793","Belum dihubungi",""
"320","PT. Nur Ridho Elsunury","Ar Ridho Tour & Travel","Tangerang","Villa Pamulang Blok CH8 No. 9 Rt. 08/017 Kel. Bakti Jaya, Kec. Setu Tangerang Selatan Banten 15315, Larangan, Tangerang, Banten, 15315","+6227840010","arridhotourstravel@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/797","Belum dihubungi",""
"321","PT. Safari Cahaya Putra","SCP TOUR & TRAVEL","Jakarta","Gedung Yayasan Darul Marfu' Lantai 3, Jl H Zainuddin Gandaria Utara Kebayoran Baru Jakarta Selatan DKI Jakarta , Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12140","+622127098347","safaricahayaputra@gmail.com","www.safaricahayaputra.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/822","Belum dihubungi",""
"322","PT. Afi Tour","Afi Tour","Jakarta","Jalan Rumah Sakit Fatmawati nomor 4 C, Desa/Kelurahan Cilandak Barat, Kec. Cilandak, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta, Kode Pos: 12430, Cilandak, Jakarta Selatan, DKI Jakarta, 12430","+620217507706","afi_tour@yahoo.com","-","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/826","Belum dihubungi",""
"323","PT. Bahana Era Wisata","Ramiza Tour","Jakarta","Jalan Madrasah II, Nomor 14, Desa/Kelurahan Duren Sawit, Kec. Duren Sawit, Kota Adm. Jakarta Timur, Provinsi DKI Jakarta, Kode Pos: 13440, Duren Sawit, Jakarta Timur, DKI Jakarta, 13440","+6287881845152","bahanaerawisata.info@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/828","Belum dihubungi",""
"324","PT. Djournal Prima Wisata","Journal Wisata","Jakarta","Jalan Warung Buncit Raya No.24, RT.007/002, Duren Tiga, Kec. Pancoran, Komplek BBC No.4C, Jakarta Selatan, Pancoran, Jakarta Selatan, DKI Jakarta, 12760","+6202126965773","djournalprimawisata@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/835","Belum dihubungi",""
"325","PT. Alhamdulillah Min Fadli Hadza","Almatour","Jakarta","Jl. Kemang No. 1A, RT/RW 009/011, Kel. Kalisari, Kec. Pasar Rebo, Jakarta Timur, DKI Jakarta, Pasar Rebo, Jakarta Timur, DKI Jakarta, 13780","+6287850142618","Almatour09@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/836","Belum dihubungi",""
"326","PT. Alhusna Era Wisata","ALHUSNA Tour & Travel","Jakarta","JL PEMUDA NO 23 RT008 RW004 RAWAMANGUN PULOGADUNG, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210","+622122484729","alhusnawisata43@gmail.com","www.alhusnaerawisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/837","Belum dihubungi",""
"327","PT. Tamr Cahaya Mandiri","Tamr Tour","Tangerang","Jl. Al Hidayah No. 08 Kel. Poris Plawad Indah, Kec. Cipondoh, Kota Tangerang, Prov. Banten, Cipondoh, Tangerang, Banten","+6281291529811","tamrtourtravel@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/841","Belum dihubungi",""
"328","PT. Fly Dba Indonesia","DBA Travel & Leisure","Jakarta","Rasuna Office Park, Jl. H. R Rasuna Said No. Kav.QO 01, RW.1, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, DKI Jakarta 12960, Setia Budi, Jakarta Selatan, DKI Jakarta, 12960","+6282850017","flydba@gmail.com","www.flydba.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/842","Belum dihubungi",""
"329","PT. Hijrah Alfatih Tour","Hijrah Alfatih Umroh & Haji","Jakarta","Jl Iskandarsyah Raya Kav. 12 No. C7 Kebayoran Baru, Jakarta Selatan Kode Pos 12160, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12160","+6281233445614","hijrahtourid@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/844","Belum dihubungi",""
"330","PT. Ventura Semesta Wisata","VENTOUR","Depok","Jln. KH.M Yusuf Raya No.18A-B Mekar Jaya Depok Jawa Barat, Cimanggis, Depok, Jawa Barat, 16411","+62217717785","legal.ventour@gmail.com","https://www.ventour.co.id/","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/845","Belum dihubungi",""
"331","PT. Hadi Amanah Mulia","Amanah Travel","Jakarta","JL. Batu Ampar III No. 13 RT.006/RW.003, Kel. Batu Ampar, Kec. Kramat Jati, KotaAdm. Jakarta Timur, DKI Jakarta, Kramat Jati, Jakarta Timur, DKI Jakarta","+6282322999361","pt.hadiamanahmulia@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/846","Belum dihubungi",""
"332","PT. Madinah Pratama Wisata","Madinah Pratama Wisata","Bekasi","Perumahan Grand Wisata Cluster Garden House Blok BG1 No.96, Desa/Kelurahan Lambangjaya, Kec. Tambun Selatan, Kab. Bekasi, Provinsi Jawa Barat, Tambun Selatan, Bekasi, Jawa Barat","+6202182597300","cs@madinah-wisata.com","www.madinah-wisata.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/861","Belum dihubungi",""
"333","PT. Arafah Mulia Insani","AMI Tour","Jakarta","Gading Kirana Timur lX Blok B 10 No 43, Kelapa Gading, Jakarta Utara, DKI Jakarta, 14240","+6245858482","ami.tour@yahoo.com","www.amitours.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/869","Belum dihubungi",""
"334","PT. Intankencana Travelindo","Inatra","Jakarta","Graha Bin Hasan, Jl. Kyai AH. Abdullah Syafei No. 3D Bukit Duri, Tebet - Jakarta Selatan 12830 - Indonesia, Tebet, Jakarta Selatan, DKI Jakarta, 12840","+6299220930","pt.intankencan.travelindo@gmail.com","www.inatratravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/874","Belum dihubungi",""
"335","PT. Kabar Haji indonesia","goumrah.id","Jakarta","Jalan GM Ainul Yakin Adah No. 35 AB. Kel. Kalibata, Pancoran, Jakarta Selatan, DKI Jakarta 12740, Pancoran, Jakarta Selatan, DKI Jakarta, 12740","+62811157188","kabarhaji.id@gmail.com","goumrah.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/880","Belum dihubungi",""
"336","PT. Zhafeela Rabbani Wisata","Amoora","Depok","Jl. Tole Iskandar No. 10 Kel. Sukmajaya, Kec. Sukmajaya, Kota Depok 16412, Sukmajaya, Depok, Jawa Barat, 16412","+6282311340011","amooratravel@gmail.com","https://amooratravel.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/885","Belum dihubungi",""
"337","PT. Arwantoro Mulia Wisata","Awan Wisata","Bekasi","Jl. Lurah Namat LT.2, Bekasi 17434, Bekasi Barat, Bekasi, Jawa Barat, 17434","+6284346235","awanwisata@yahoo.com","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/894","Belum dihubungi",""
"338","PT. Ini Tour Indowisata","Ini Tour","Jakarta","Jl. Delima Raya No.3A RT.003 RW.003 Kel. Malaka Sari, Kec. Duren Sawit, Kota Jakarta Timur, Duren Sawit, Jakarta Timur, DKI Jakarta, 13460","+6248672528","initour.indowisata@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/897","Belum dihubungi",""
"339","PT. Abdurahman Setong Telo Sanga","Abdurahman Setong Telo Sanga","Jakarta","Jl. Raya Bekasi, Kp. Petukangan RT.001, RW.005, Rawa Terate Cakung, Jakarta Timur, Cakung, Jakarta Timur, DKI Jakarta, 13920","+620214809890","abdurahmansetongtelosanga@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/902","Belum dihubungi",""
"340","PT. Alzam Mandiri Wisata","Alzam Mandiri Wisata","Tangerang","Ciledug Mas, Jl. HOS Ckrominoto Blok C9 dan C10, RT.003/RW.004, Sudimara Timur, Kecamatan Karang Tengah, Kota Tangerang, Banten 15151, Karang Tengah, Tangerang, Banten, 15151","+628159888154","alzam@bisa.id","www.umrahbisa.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/907","Belum dihubungi",""
"341","PT. Mutiara Kabah Wisata","Mutiara Ka'bah","Jakarta","Pondok Kelapa 009/001, Pondok Kelapa, Duren Sawit - Jakarta Timur, Duren Sawit, Jakarta Timur, DKI Jakarta","+6288224169596","pt_mutiarakabah@yahoo.co.id","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/909","Belum dihubungi",""
"342","PT. Al Kariim Anugerah Ilahi","Al Kariim Tour & Travel","Jakarta","Jl. Duri Bulan 50A, Batu Ampar - Kramat Jati, Jakarta Timur 13520, DKI Jakarta, Kramat Jati, Jakarta Timur, DKI Jakarta, 113520","+620218016572","alkariimcahayailahi@gmail.com","www.alkariimtourtravel.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/913","Belum dihubungi",""
"343","PT. Ramadhan Indah Wisata","Ramadhan Indah Wisata","Jakarta","Gedung Bangka 33 Lantai 2, Jl. Bangka Raya 33A, Kel. Pela Mampang, Kec. Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Mampang Prapatan, Jakarta Selatan, DKI Jakarta","+6222720972","ramadhanindahwisata@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/915","Belum dihubungi",""
"344","PT. Wisata Baitullah Internasional","Wisata Baitullah","Jakarta","Jl. Merbabu KO No.16 Bukit Permai , Cibubur, Ciracas - Jakarta Timur, Ciracas, Jakarta Timur, DKI Jakarta","+6287168565","admin@wisatabaitullah.id","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/920","Belum dihubungi",""
"345","PT. Rihlatun Ilal Jannah Tour and Travel","RIJ Tours","Depok","Jalan Alternatif Cibubur Ruko No. 9 E RT 005 RW 09 Kelurahan Harjamukti, Kecamatan Cimanggis,  Depok – Jawa Barat 16454, Cimanggis, Depok, Jawa Barat, 16454","+6285813767475","rijtourtravel@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/921","Belum dihubungi",""
"346","PT. Yamani Indo Group","Bin Humaid Tour & Travel","Depok","Jl. Bojong Depok Baru 1, blok: OH 10 RT.002/023, Kec. Bojong Gede, Kab. Bogor, Jawa Barat, Bojonggede, Bogor, Jawa Barat","+6287849999254","yamaniindogroup@gmail.com","","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/929","Belum dihubungi",""
"347","PT. Alkaunain Tour Travel","Al-Kaunain Tour and Travel","Jakarta","Jl. Raya H. kelik No.22 Kelapa Dua, Kebon Jeruk - Jakarta Barat 11550, Kebon Jeruk, Jakarta Barat, DKI Jakarta, 11550","+6281319491926","alkaunaintour@gmail.com","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/934","Belum dihubungi",""
"348","PT. Dhifa Azizah","Dhifa Azizah Wisata Tour and Travel","Bogor","Jl. Raya Babakan Madang No.17, Citaringgul, Kec. Babakan Madang, Kab. Bogor, Babakan Madang, Bogor, Jawa Barat","+6202184200122","ad.dhifaazizahwisata@gmail.com","www.dhifaazizahwisata.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/935","Belum dihubungi",""
"349","PT. Tisaga Multazam Utama","Multazam Utama Tour","Jakarta","Jl. Cempaka Putih Tengah 27 No.14 A, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10510","+6242885027","info@multazam.co.id","www.multazam.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/936","Belum dihubungi",""
"350","PT. Dzadin Globalindo Wisata","Dzadin Tour","Bekasi","Ruko Kranggan Permai, Jl. Kranggan Permai Blok RT.12A No.01/RW10/12 Kel/Kec. Jatisampurna. Kota Bekasi, Jawa Barat 17433, Jati Sampurna, Bekasi, Jawa Barat, 17433","+6281290907559","dzadinglobalindowisata@gmail.com","www.dzadintour.com","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/950","Belum dihubungi",""
"351","PT. Aida Tourindo Wisata","AIDA TOUR","Jakarta","Jl. Cempaka Putih Tengah No. 33, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10510","+62214254686","aidatourindo@gmail.com, aidatourindo33@yahoo.co.id","www.aidatourindo.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/1","Belum dihubungi",""
"352","PT. Al Amin Mulia Lestari","ALAMINMULIATOUR","Tangerang","Kawasan Bisnis CBd Ciledug Blok A5 No. 21, Karang Tengah, Tangerang, Banten, 15157","+622173451933","alamin.mulia2904@gmail.com, operasional.hajiumrah@gmail.com, alaminmuliafinance@gmail.com","www.alaminmulia.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/2","Belum dihubungi",""
"353","PT. Abdi Umat Wisata International","Attin Tour","Jakarta","Jl. Lap. Tembak No. 39, Ciracas, Jakarta Timur, DKI Jakarta, 13720","+622184310066","attintourtravel@gmail.com","www.attintour.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/3","Belum dihubungi",""
"354","PT. Adzikra","ADZIKRA","Jakarta","Pusat Niaga Duta Mas Fatmawati Blok C 2 No. 11-12, Jl. Fatmawati Raya No. 39, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12150","+62217231344","marketingadzikra@yahoo.com, info@adzikra.com","www.adzikra.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/4","Belum dihubungi",""
"355","PT. Al Ahram Sarana Wisata","AL AHRAM","Jakarta","Jl. Tebet Barat IX No. 58 Lt. 1 , Tebet, Jakarta Selatan, DKI Jakarta, 12810","+622183700876","al_ahramjkt@yahoo.com, alahramhaji@gmail.com","www.alahramhajiumrah.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/5","Belum dihubungi",""
"356","PT. Alfida Tour And Travel","ALFIDA TOUR & TRAVEL","Jakarta","Jl. Dewi Sartika No. 321a, Kramat Jati, Jakarta Timur, DKI Jakarta, 13630","+62218017467","alfida_jkt@yahoo.co.id, alfidaaf321@gmail.com","www.alfidatravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/8","Belum dihubungi",""
"357","PT. Al Hijaz Indowisata","PT. AL HIJAZ TOUR & TRAVEL (AIW)","Jakarta","Graha Alhijaz Lt. 3. Jl. Dewi Sartika,no.239 A, Kramat Jati, Jakarta Timur, DKI Jakarta, 13630","+62218012222","alhijaz_indowisata@hotmail.com","www.alhijazindowisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/9","Belum dihubungi",""
"358","PT. An-Naba International","AN NABA","Jakarta","Mt. Haryono Square Of 1/9, Jatinegara, Jakarta Timur, DKI Jakarta, 13330","+622129067285","an_naba09@yahoo.com","www.annaba_int.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/10","Belum dihubungi",""
"359","PT. Andiarta Dewata","Andiarta Wisata","Jakarta","Graha ADPD Jl. Buncit Raya No. 101, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510","+62217902230","Andiarta@google.com, andiarta.info@yahoo.com, info@andiarta.co.id","www.andiartawisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/13","Belum dihubungi",""
"360","PT. Annatama Purna","Annatama","Jakarta","Gedung Mt. Haryono Square Lt 1/21, Jl. Otista Raya No. 390, Jatinegara, Jakarta Timur, DKI Jakarta, 13330","+622129575290","annatamatravel@yahoo.co.id, annatamatravel@gmail.com","www.annatamatravelumroh.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/15","Belum dihubungi",""
"361","PT. Anugerah Citra Mulia","ANUGERAH WISATA","Jakarta","Utan Kayu Raya No 81 RT/RW 001/008 Jaktim, Matraman, Jakarta Timur, DKI Jakarta, 13120","+622122326259","acm.anugerahwisata@gmail.com","anugerahwisata.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/17","Belum dihubungi",""
"362","PT. Arrayyan Utama","ARRAYYAN UTAMA","Jakarta","Wisma Bsg Jl. Abdul Muis No. 40, Gambir, Jakarta Pusat, DKI Jakarta, 10160","+62213514802","arrayyantour@yahoo.com, edysetiawan1950@yahoo.co.id, arrayyantour@yahoo.co.id","www.arrayyanutama.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/21","Belum dihubungi",""
"363","PT. Asia Utama Wisata","ASIATOUR","Jakarta","Jl. Ciputat Raya No. 4B, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240","+62217201061","marketing@asiatour.co.id","www.asiatour.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/22","Belum dihubungi",""
"364","PT. Balda Citra Mandiri","BALDA HAJI & UMRAH","Jakarta","Jl. Wijaya I No. 8, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12170","+622172791209","balda_wisata@yahoo.co.sg, care@baldacitra.com","www.baldacitra.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/25","Belum dihubungi",""
"365","PT. Dian Nusa Insani","DNI","Jakarta","Jl. Mampang Prapatan Raya No. 69, Mampang Prapatan, Jakarta Selatan, DKI Jakarta, 12790","+622179195808","insani_travel@yahoo.co.id","www.insanitravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/28","Belum dihubungi",""
"366","PT. Dua Ribu Wisata","DRW","Jakarta","Jl. Dewi Sartika No. 69 A, Kramat Jati, Jakarta Timur, DKI Jakarta, 13630","+622180882000","info@duaribuwisata.com, duaribuwisata@yahoo.co.id","www.duaribuwisata.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/29","Belum dihubungi",""
"367","PT. Fajrul Ikhsan Wisata","ESQ Tour & Travel","Jakarta","Gd. Menara 165 Lt. Dasar Lobby Office, Jl. Tb Simatupang Kav 1 Rt.008/003, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12650","+622129406350","info@esqtours.com, umrah.haji@esqtours.com","www.esqtours.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/30","Belum dihubungi",""
"368","PT. Biro Perjalanan Wisata Fattur","PT. FATTUR TOUR & TRAVEL","Jakarta","Jl. Matraman No. 16a, Senen, Jakarta Pusat, DKI Jakarta, 10430","+62213107773","eks.anggota.himpuh@gmail.com","www.kaltrabu.co.id","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/33","Belum dihubungi",""
"369","PT. Gema Shafa Marwa","GSM","Jakarta","Ruko Mutiara Faza, Jl. Condet Raya No. 27/rc, Pasar Rebo, Jakarta Timur, DKI Jakarta, 13760","+622187782122","gsmhajiplus@yahoo.co.id, gsmhajiplus@gmail.com","www.gemashafamarwa.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/34","Belum dihubungi",""
"370","PT. Goenawan Erawisata Tour & Travel","Goenawan Era Wisata Haji & Umroh","Tangerang","Bussines Park Tangcity B.25, Jl. Jenderal Sudirman No. 01, Tangerang, Tangerang, Banten, 15117","+622155733001","goenawan_hajiumroh@yahoo.com, goenawan_visa@yahoo.co.id","www.malikgrup.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/35","Belum dihubungi",""
"371","PT. Hawla Mabrur","Hawla Mabrur Tour & Travel","Jakarta","Jl. Pegambiran No. 42 A, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13220","+62081319311904","ahinfo@ymail.com","www.hawlabarur.co.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/36","Belum dihubungi",""
"372","PT. Indah Safarina","SAFARINDO TOURS & TRAVEL","Jakarta","Jl. Raya Ps. Minggu Km. 18,2 No. 6G, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510","+622179184481","safarindotravel@yahoo.com, safarindotourtravel@gmail.com","www.safarindotravel.web.id","Penyelenggara Perjalanan Ibadah Umrah (PPIU)","https://himpuh.or.id/daftar-anggota/detail/39","Belum dihubungi",""
"373","PT. Intan Salsabila","INTAN SALSABILA","Jakarta","Jl. Tebet Barat Dalam Raya No. 55 C, Tebet, Jakarta Selatan, DKI Jakarta, 12810","+622183705341","intansalsabila.travel@gmail.com, umrahajj.intansalsabila@yahoo.com","www.intansalsabila.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/41","Belum dihubungi",""
"374","PT. Khadim Permata Tour","KHADIM WISATA","Bogor","Jl. Lawanggintung No.25 , Bogor Selatan - Kota, Bogor, Jawa Barat, 16133","+622518380789","khadim_wisata@yahoo.com, khadimwisata@gmail.com","khadimwisata.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/45","Belum dihubungi",""
"375","PT. Madani Bina Bersama","MADANI TOURS & TRAVEL","Jakarta","Jl. Tebet Barat Dalam Raya No. 73, Tebet, Jakarta Selatan, DKI Jakarta, 12810","+62218295850","madani_tourstravel@yahoo.co.id","www.madanitourstravel.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/46","Belum dihubungi",""
"376","PT. Masindo Buana Wisata","Masindo Tour","Jakarta","Jl. Tebet Raya No. 38a, Tebet, Jakarta Selatan, DKI Jakarta, 12820","+62218293250","masindo_tour@yahoo.com","","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/47","Belum dihubungi",""
"377","PT. Mumtaz Sabila Mabrur","MUMTAZ TOURS & TRAVEL","Jakarta","Jl. Terusan I Gusti Ngurah Rai Ruko Spbu No. 11, Duren Sawit, Jakarta Timur, DKI Jakarta, 13460","+622122814366","mumtaz_sm07@yahoo.co.id, mumtazsabilamabrur@gmail.com","www.mumtaztours.com","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/53","Belum dihubungi",""
"378","PT. Biro Perjalanan Wisata Neekoi","NEEKOI WISATA","Bekasi","Komp. Ruko Ratna Asri Residence No. 1 Jl. Raya Dr. Ratna, Babelan, Bekasi, Jawa Barat, 17422","+622184793133","eks.anggota.himpuh@gmail.com","www.neekoi.com","Biro Perjalanan Wisata (BPW)","https://himpuh.or.id/daftar-anggota/detail/54","Belum dihubungi",""
"379","PT. Nipindo Antar Wisata","NIPINDO TOUR & TRAVEL","Jakarta","Jl. Pegambiran No. 5 Kel Jati, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13220","+622129833000","nipindo_travel@yahoo.com, nipindo_rosanatravel@yahoo.com","www.nipindotravel.co.id","Penyelenggara Ibadah Haji Khusus (PIHK)","https://himpuh.or.id/daftar-anggota/detail/55","Belum dihubungi",""
